Team,Wins2023,Wins2024
Michigan,9,5
Ohio State,8,7
Penn State,7,8
Maryland ,4,1
Rugters,3,4
Michigan State,2,3
Indiana,1,8
Iowa,7,6
Northwestern,5,2
Wisconsin,5,3
Illinois,3,6
Minnesota,3,5
Nebraska,3,3
Purdue,3,0
UCLA,7,3
USC,7,4
Oregon,11,9
Washington,13,4
